Order ID,Customer ID,SalesPerson,Order Date,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,Product Container,Ship Date
13729,C508,Bob,1/01/2014,Not Specified,SKU947,9,95.99,0.08,35,Express Air,Large Box,3/01/2014
28774,C372,John,1/01/2014,High,SKU937,32,5.98,0.1,4.69,Regular Air,Small Box,2/01/2014
9285,C212,Bob,2/01/2014,Critical,SKU363,3,40.98,0.06,2.99,Regular Air,Small Box,4/01/2014
37537,C015,Bob,2/01/2014,Low,SKU052,4,291.73,0,48.8,Delivery Truck,Jumbo Drum,2/01/2014
37537,C015,Bob,2/01/2014,Low,SKU063,43,100.98,0.07,45,Delivery Truck,Jumbo Drum,4/01/2014
37537,C015,Richard,2/01/2014,Low,SKU902,32,155.06,0.05,7.07,Regular Air,Small Box,9/01/2014
44069,C256,John,2/01/2014,Critical,SKU557,16,9.11,0.09,2.15,Express Air,Wrap Bag,4/01/2014
44069,C256,John,2/01/2014,Critical,SKU603,43,15.04,0.08,1.97,Regular Air,Wrap Bag,2/01/2014
30016,C089,John,3/01/2014,Critical,SKU731,15,5.28,0.03,5.66,Regular Air,Small Box,5/01/2014
30016,C089,John,3/01/2014,Critical,SKU1244,8,110.99,0.01,2.5,Regular Air,Small Box,6/01/2014
40354,C591,Richard,3/01/2014,High,SKU352,29,5.58,0.03,2.99,Regular Air,Small Box,4/01/2014
40354,C591,John,3/01/2014,High,SKU235,4,212.6,0.09,52.2,Delivery Truck,Jumbo Box,4/01/2014
9637,C036,John,3/01/2014,Low,SKU989,12,43.22,0.08,16.71,Regular Air,Small Box,5/01/2014
9637,C036,Bob,3/01/2014,Low,SKU1128,49,574.74,0.05,24.49,Regular Air,Large Box,10/01/2014
9637,C036,Richard,3/01/2014,Low,SKU593,12,10.14,0.04,2.27,Regular Air,Wrap Bag,7/01/2014
7909,C023,Richard,3/01/2014,High,SKU766,29,4.26,0.03,1.2,Regular Air,Wrap Bag,4/01/2014
9762,C453,Bob,3/01/2014,High,SKU083,12,20.98,0.05,21.2,Regular Air,Medium Box,4/01/2014
