Order ID,Customer ID,SalesPerson,Order Date,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,Product Container,Ship Date
2277,C236,Richard,1/01/2016,Not Specified,SKU1005,10,5.98,0.01,4.38,Regular Air,Small Pack,2/01/2016
2277,C236,Richard,1/01/2016,Not Specified,SKU602,21,40.99,0.06,19.99,Regular Air,Small Box,3/01/2016
16262,C465,Bob,1/01/2016,Low,SKU552,11,5.18,0.06,2.04,Express Air,Wrap Bag,8/01/2016
17058,C296,Bob,1/01/2016,High,SKU647,15,4.28,0.04,6.72,Regular Air,Small Box,2/01/2016
52640,C719,Bob,1/01/2016,Medium,SKU401,18,63.98,0.05,19.99,Express Air,Small Box,4/01/2016
10144,C708,Bob,2/01/2016,Critical,SKU054,16,355.98,0.08,58.92,Delivery Truck,Jumbo Drum,4/01/2016
10144,C708,John,2/01/2016,Critical,SKU072,1,160.98,0.02,30,Delivery Truck,Jumbo Drum,4/01/2016
10144,C708,Richard,2/01/2016,Critical,SKU242,24,280.98,0.1,35.67,Delivery Truck,Jumbo Box,2/01/2016
10436,C424,Richard,2/01/2016,Low,SKU816,24,5.84,0.09,1,Regular Air,Wrap Bag,9/01/2016
24033,C719,Bob,2/01/2016,High,SKU215,50,23.99,0,15.68,Delivery Truck,Jumbo Drum,4/01/2016
25188,C781,Richard,3/01/2016,Medium,SKU1178,20,85.99,0,2.5,Regular Air,Small Box,5/01/2016
4006,C355,Richard,3/01/2016,Medium,SKU580,38,37.94,0.06,5.08,Regular Air,Wrap Bag,4/01/2016
9221,C159,John,3/01/2016,Low,SKU280,9,3.25,0.03,49,Regular Air,Large Box,7/01/2016
9221,C159,Richard,3/01/2016,Low,SKU496,25,60.98,0.04,19.99,Regular Air,Small Box,7/01/2016
54528,C621,Richard,4/01/2016,Medium,SKU750,17,11.66,0.01,8.99,Regular Air,Small Pack,6/01/2016
54528,C621,Richard,4/01/2016,Medium,SKU829,8,10.48,0.06,2.89,Regular Air,Small Pack,6/01/2016
58054,C212,Richard,4/01/2016,High,SKU152,26,2.08,0.04,5.33,Regular Air,Small Box,4/01/2016
54528,C621,John,4/01/2016,Medium,SKU833,15,6.08,0.03,0.91,Regular Air,Wrap Bag,5/01/2016
52486,C241,Richard,4/01/2016,Not Specified,SKU995,41,300.97,0.1,7.18,Regular Air,Small Box,5/01/2016
802,C433,Richard,4/01/2016,Critical,SKU378,33,11.7,0.08,5.63,Regular Air,Small Box,6/01/2016
802,C433,John,4/01/2016,Critical,SKU1085,2,15.99,0.09,9.4,Regular Air,Small Box,4/01/2016
6560,C519,Bob,4/01/2016,Low,SKU325,20,8.67,0.09,3.5,Regular Air,Small Box,8/01/2016
6560,C519,Bob,4/01/2016,Low,SKU242,37,280.98,0.04,35.67,Delivery Truck,Jumbo Box,9/01/2016
33473,C539,Bob,4/01/2016,Low,SKU870,50,12.98,0.08,3.14,Regular Air,Small Pack,4/01/2016
44198,C315,John,4/01/2016,Critical,SKU1197,35,20.99,0.04,3.3,Express Air,Small Pack,4/01/2016
25028,C052,Bob,5/01/2016,Critical,SKU016,5,81.94,0.02,55.81,Delivery Truck,Jumbo Box,6/01/2016
25028,C052,Bob,5/01/2016,Critical,SKU580,14,37.94,0,5.08,Express Air,Wrap Bag,7/01/2016
43808,C158,Bob,6/01/2016,Low,SKU132,16,6.24,0.04,5.22,Regular Air,Small Box,13/01/2016
8195,C621,Richard,6/01/2016,Medium,SKU553,5,7.28,0.05,11.15,Express Air,Small Box,7/01/2016
8195,C621,John,6/01/2016,Medium,SKU187,1,5.08,0.1,3.63,Regular Air,Wrap Bag,8/01/2016
8195,C621,John,6/01/2016,Medium,SKU797,26,3.28,0.03,3.97,Regular Air,Wrap Bag,7/01/2016
29958,C070,John,6/01/2016,High,SKU373,47,6.37,0,5.19,Regular Air,Small Box,7/01/2016
29958,C070,Richard,6/01/2016,High,SKU050,32,500.98,0.1,26,Delivery Truck,Jumbo Drum,8/01/2016
35845,C218,Richard,6/01/2016,High,SKU233,15,376.13,0.05,85.63,Delivery Truck,Jumbo Box,8/01/2016
50945,C783,Richard,7/01/2016,Critical,SKU1179,27,35.99,0.01,1.25,Regular Air,Small Pack,9/01/2016
3488,C542,Bob,7/01/2016,Medium,SKU042,39,122.99,0.06,70.2,Delivery Truck,Jumbo Drum,10/01/2016
3488,C542,Bob,7/01/2016,Medium,SKU807,6,21.98,0.02,2.87,Regular Air,Small Pack,8/01/2016
58340,C733,John,8/01/2016,Medium,SKU285,36,50.98,0.03,13.66,Regular Air,Small Box,9/01/2016
46402,C665,Bob,8/01/2016,Medium,SKU120,27,29.18,0.03,8.55,Regular Air,Small Box,10/01/2016
46402,C665,John,8/01/2016,Medium,SKU1227,29,66.99,0.01,13.99,Regular Air,Medium Box,9/01/2016
46402,C665,John,8/01/2016,Medium,SKU1238,12,115.99,0.01,2.5,Express Air,Small Box,9/01/2016
52672,C346,Richard,8/01/2016,Low,SKU1174,29,65.99,0.09,5.26,Regular Air,Small Box,13/01/2016
7840,C609,Bob,8/01/2016,Low,SKU1029,34,4.89,0.1,4.93,Regular Air,Small Pack,12/01/2016
1445,C696,Richard,9/01/2016,Medium,SKU386,3,420.98,0,19.99,Regular Air,Small Box,12/01/2016
1445,C696,Bob,9/01/2016,Medium,SKU831,30,11.97,0.08,5.81,Regular Air,Small Pack,11/01/2016
14693,C201,John,9/01/2016,Critical,SKU723,39,6.48,0.02,6.41,Regular Air,Small Box,11/01/2016
14693,C201,John,9/01/2016,Critical,SKU967,38,20.98,0.05,45,Delivery Truck,Jumbo Drum,11/01/2016
23556,C590,Richard,9/01/2016,Medium,SKU314,34,363.25,0.05,19.99,Express Air,Small Box,10/01/2016
19654,C494,Bob,9/01/2016,High,SKU175,8,46.94,0.04,6.77,Regular Air,Small Box,9/01/2016
40225,C285,Richard,9/01/2016,Low,SKU398,50,16.74,0.06,5.08,Regular Air,Small Box,16/01/2016
40225,C285,John,9/01/2016,Low,SKU042,45,122.99,0.05,70.2,Delivery Truck,Jumbo Drum,11/01/2016
43814,C312,Richard,9/01/2016,Medium,SKU450,40,5.28,0.09,2.99,Regular Air,Small Box,10/01/2016
43814,C312,John,9/01/2016,Medium,SKU568,47,4.2,0.03,2.26,Regular Air,Wrap Bag,10/01/2016
35266,C088,John,10/01/2016,Not Specified,SKU782,39,5.84,0.07,1.2,Regular Air,Wrap Bag,10/01/2016
35266,C088,Richard,10/01/2016,Not Specified,SKU228,28,218.75,0.07,69.64,Delivery Truck,Jumbo Box,12/01/2016
32901,C568,Richard,10/01/2016,Critical,SKU517,13,3.75,0,0.5,Regular Air,Small Box,11/01/2016
41895,C767,John,10/01/2016,Critical,SKU1072,8,3499.99,0.05,24.49,Regular Air,Large Box,12/01/2016
20805,C674,Richard,10/01/2016,High,SKU349,12,5.53,0.06,6.98,Regular Air,Small Box,13/01/2016
