Order ID,Customer ID,SalesPerson,Order Date,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,Product Container,Ship Date
29030,C660,Richard,1/01/2017,Medium,SKU814,10,19.84,0.05,4.1,Regular Air,Wrap Bag,2/01/2017
47591,C198,Bob,1/01/2017,Critical,SKU957,27,10.48,0.1,6.91,Regular Air,Small Box,2/01/2017
54214,C628,Bob,1/01/2017,Medium,SKU1076,38,199.99,0.04,24.49,Express Air,Large Box,4/01/2017
10945,C623,Bob,2/01/2017,Medium,SKU1158,14,95.99,0.04,8.99,Regular Air,Small Box,4/01/2017
50471,C219,Bob,2/01/2017,Low,SKU059,25,226.67,0.02,28.16,Delivery Truck,Jumbo Drum,4/01/2017
16164,C278,John,2/01/2017,Low,SKU1113,26,90.97,0.03,14,Delivery Truck,Jumbo Drum,6/01/2017
43494,C375,Bob,2/01/2017,Medium,SKU1129,2,1938.02,0.09,13.99,Regular Air,Medium Box,3/01/2017
16164,C278,John,2/01/2017,Low,SKU481,22,162.93,0.07,19.99,Regular Air,Small Box,11/01/2017
16164,C278,Bob,2/01/2017,Low,SKU745,26,2.52,0.08,4.28,Regular Air,Wrap Bag,9/01/2017
35811,C163,Bob,2/01/2017,Critical,SKU482,49,15.57,0.1,1.39,Regular Air,Small Box,3/01/2017
35811,C163,Bob,2/01/2017,Critical,SKU781,6,1.76,0.1,0.7,Regular Air,Wrap Bag,4/01/2017
7107,C715,Richard,3/01/2017,Not Specified,SKU124,3,54.2,0.02,11.1,Regular Air,Medium Box,3/01/2017
7107,C715,John,3/01/2017,Not Specified,SKU580,3,37.94,0.06,5.08,Regular Air,Wrap Bag,5/01/2017
7107,C715,Bob,3/01/2017,Not Specified,SKU943,32,55.29,0.1,5.08,Regular Air,Small Box,4/01/2017
39619,C442,John,3/01/2017,Low,SKU155,15,49.34,0.02,10.25,Regular Air,Large Box,7/01/2017
31555,C374,Bob,3/01/2017,Critical,SKU180,38,88.84,0,20.79,Regular Air,Large Box,3/01/2017
31555,C374,Bob,3/01/2017,Critical,SKU1114,5,90.97,0.02,28,Delivery Truck,Jumbo Drum,6/01/2017
44646,C501,Bob,3/01/2017,Low,SKU969,47,279.48,0.08,35,Regular Air,Large Box,7/01/2017
55011,C017,John,3/01/2017,Critical,SKU775,48,9.85,0.09,4.82,Regular Air,Wrap Bag,4/01/2017
55011,C017,John,3/01/2017,Critical,SKU810,18,2.94,0.01,0.81,Regular Air,Wrap Bag,4/01/2017
10432,C708,John,4/01/2017,Low,SKU1049,13,179.99,0.08,19.99,Regular Air,Small Box,11/01/2017
13444,C606,Bob,4/01/2017,High,SKU611,33,4.76,0.06,0.88,Regular Air,Wrap Bag,7/01/2017
